번호,제목,작성일,조회수,내용요약,이미지URL,게시글URL
1,초호쉼터 수영장 운영 종료,25.08.21,130,초호쉼터 수영장은 운영 종료되었습니다.,https://cdn.imweb.me/upload/S20210716d8579a0c1e07f/a5ceb20c0817f.png,https://choho.imweb.me/admin/contents/post/view?code=p20250821ddeefcdf118f9
2,초호쉼터 펜션이용 고객 전용 수영장 오픈,25.07.03,444,펜션 이용고객 전용 여름철 수영장 오픈. 운영시작일 7월5일 이용시간 15:00-18:00,이미지2개이상,https://choho.imweb.me/admin/contents/post/view?code=p2025070355bf7b663ed40
3,초호쉼터 알파카 먹이주기 이용 안내,25.05.29,309,초호펜션/초리골164카페 이용 고객 대상 알파카 먹이주기 체험 가능,이미지1개,https://choho.imweb.me/admin/contents/post/view?code=p202505296f248a4267392
4,초호쉼터 토끼가족 입주 안내,25.05.02,320,가정의 달 5월 맞이 토끼가족 입주. 알파카 사육장 및 공간 곳곳에서 만날 수 있음,이미지1개,https://choho.imweb.me/admin/contents/post/view?code=p20250502cfed42b27c0fc
5,객실 이용 벌레 유입을 최소화 하기 위한 이용고객 준수사항,25.04.22,364,숲속 독채펜션 벌레 유입 최소화 방법. 출입문 닫기 야간소등 매너타임 준수,이미지1개,https://choho.imweb.me/admin/contents/post/view?code=p2025042276d6f5c34167b
6,초호쉼터 단체이용으로 공간 일부 소음발생 안내,25.04.05,429,4-6일 단체이용객 주말 이용 시 소음 발생 가능. 매너타임 22:00-09:00,이미지1개,https://choho.imweb.me/admin/contents/post/view?code=p20250405708b4ada5e88d
7,2025년 초호쉼터 산수유 꽃 개화 소식,25.04.02,478,초리골의 봄을 알리는 산수유 꽃 개화 시작,이미지1개,https://choho.imweb.me/admin/contents/post/view?code=p202504029d8643c14d376
8,25년 1월 2월 초리골164 베이커리 카페 리뷰이벤트 당첨자 발표,25.03.13,504,1-2월 네이버리뷰 당첨자 선정 완료. 리뷰에 답글로 안내,이미지1개,https://choho.imweb.me/admin/contents/post/view?code=p20250313777bc195fc852
9,객실 이용 중 침구 및 수건 불편사항 발생시 안내사항,25.03.05,500,침구 수건 불편사항 발생 시 관리자 즉시 연락. 크린토피아 클리닝 서비스 이용,이미지1개,https://choho.imweb.me/admin/contents/post/view?code=p202503057273bcc134925
10,레이트 체크아웃 이벤트 안내 - 네이버예약자만 참여가능,25.02.10,605,Forest 1개 Forest mini 2개 레이트 체크아웃. 네이버 예약리뷰 작성 시 1시간 연장,이미지1개,https://choho.imweb.me/admin/contents/post/view?code=p20250210b2b3450b7bb92
